lat,lng,control
31.567731,130.543848,-68
31.567761,130.543963,76
31.567726,130.543866,117
31.567668,130.543729,99
31.567679,130.543670,243
31.567531,130.543658,13
31.567443,130.543693,5
31.567257,130.543792,47
31.567305,130.543741,93
31.567258,130.543730,-57
31.567319,130.543680,137
31.567255,130.543621,-27
31.567376,130.543495,-15
31.567405,130.543434,135
31.567444,130.543286,116
31.567315,130.543228,15
31.567250,130.543188,28
31.567252,130.543027,19
31.567337,130.543001,-19
31.567337,130.543001,00
