millis,state,year,month,day,hour,minute,second,lat,lng,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,altitude,temperature,cds,batt1,batt2,distance2goal
6301,6,2000,0,0,0,0,0,0.000000,0.000000,196,34,-2005,31,-32,-69,13792,-1354,8691,1011.26,0.98,36.08,10,4.33,4.11,0.00,
33825,6,2019,9,4,4,30,8,31.567762,130.543888,240,88,-2031,54,-39,-68,13688,-1397,8743,1011.11,2.26,38.39,9,4.16,4.16,0.00,
51162,6,2019,9,4,4,30,25,31.567737,130.543853,280,-134,-2025,50,-59,-74,13224,-3254,8576,1011.14,2.00,38.62,8,4.19,4.11,92.35,
60192,6,2019,9,4,4,30,25,31.567737,130.543853,283,21,-2032,36,-63,-73,11597,-7488,8290,1010.56,6.84,38.60,8,4.16,4.19,92.35,
67451,6,2019,9,4,4,30,41,31.567757,130.543885,267,43,-2040,40,-67,-79,11522,-7519,8340,1010.39,8.27,39.81,8,4.19,4.19,92.35,
84830,6,2019,9,4,4,30,58,31.567780,130.543973,303,79,-2301,45,-58,-78,15839,-9121,7928,1010.41,8.06,39.63,9,4.16,4.19,89.24,
93861,6,2019,9,4,4,30,58,31.567780,130.543973,278,88,-2059,43,-57,-75,16841,-7018,7396,1014.56,-26.49,39.63,8,4.11,4.14,89.24,
101162,6,2019,9,4,4,31,14,31.567725,130.543943,262,82,-2046,38,-62,-72,16774,-7031,7380,1014.56,-26.53,40.68,8,4.19,4.16,89.24,
118517,6,2019,9,4,4,31,31,31.567722,130.543862,257,197,-2066,35,-63,-76,14449,-1039,9401,1010.98,3.33,41.72,9,4.11,4.14,93.36,
127548,6,2019,9,4,4,31,31,31.567722,130.543862,185,97,-2072,36,-52,-79,15831,-1007,9242,1010.97,3.36,40.87,8,4.11,4.16,93.36,
134847,6,2019,9,4,4,31,47,31.567687,130.543807,193,93,-2050,44,-55,-72,15797,-1055,9229,1011.00,3.15,40.88,8,4.14,4.11,93.36,
152169,6,2019,9,4,4,32,4,31.567672,130.543730,279,-64,-2046,44,-69,-81,15210,-1293,8816,1011.83,-3.75,41.86,8,4.16,4.16,80.45,
161204,6,2019,9,4,4,32,4,31.567672,130.543730,371,-67,-2033,36,-89,-97,14237,-5277,8629,1010.79,4.90,42.36,9,4.16,4.16,80.45,
168482,6,2019,9,4,4,32,20,31.567653,130.543648,379,-73,-2069,45,-39,-66,14259,-5285,8685,1010.73,5.40,42.20,14,4.16,4.14,80.45,
185834,6,2019,9,4,4,32,37,31.567678,130.543668,337,67,-2044,34,-46,-73,12838,-2545,6830,1010.76,5.19,41.12,8,4.14,4.11,64.85,
194865,6,2019,9,4,4,32,37,31.567678,130.543668,309,-19,-2063,44,-55,-71,12067,-4049,7748,1010.45,7.75,41.34,8,4.16,4.14,64.85,
202157,6,2019,9,4,4,32,53,31.567592,130.543617,319,-19,-2097,34,-58,-70,12029,-4046,7757,1010.37,8.41,41.25,8,4.14,4.14,64.85,
219498,6,2019,9,4,4,33,10,31.567528,130.543658,247,87,-2020,39,-75,-65,15402,-5652,9785,1010.56,6.78,42.15,8,4.19,4.14,59.59,
228529,6,2019,9,4,4,33,10,31.567528,130.543658,309,-19,-2045,51,-75,-80,14087,-4416,7168,1010.32,8.80,42.50,8,4.16,4.11,59.59,
235819,6,2019,9,4,4,33,26,31.567500,130.543680,291,-1,-2053,43,-74,-71,14064,-4471,7197,1010.34,8.65,43.31,10,4.18,4.11,59.59,
253213,6,2019,9,4,4,33,43,31.567442,130.543692,365,-58,-2045,18,-59,-55,11319,-6635,6653,1007.99,28.28,42.79,8,4.18,4.14,62.17,
262244,6,2019,9,4,4,33,43,31.567442,130.543692,389,62,-2024,45,-59,-73,11962,-4884,6460,1011.44,0.56,41.87,8,4.18,4.14,62.17,
269514,6,2019,9,4,4,33,59,31.567400,130.543675,382,44,-2069,36,-81,-80,11996,-4853,6456,1011.34,0.27,41.84,13,4.18,4.11,62.17,
286874,6,2019,9,4,4,34,16,31.567252,130.543815,313,-84,-2019,26,-45,-65,14643,-8434,7491,1017.27,-49.05,39.80,24,4.16,4.11,60.12,
295908,6,2019,9,4,4,34,16,31.567252,130.543815,168,2054,-201,38,-70,-80,15329,-6196,3761,1017.62,-51.95,39.17,26,4.11,4.11,60.12,
303175,6,2019,9,4,4,34,32,31.567307,130.543753,173,2048,-202,27,-63,-73,15352,-6174,3700,1017.57,-51.47,38.86,26,4.16,4.11,60.12,
320533,6,2019,9,4,4,34,49,31.567310,130.543742,157,2050,-206,43,-56,-67,16901,-6244,3443,1017.59,-51.65,38.49,26,4.14,4.11,69.04,
329565,6,2019,9,4,4,34,49,31.567310,130.543742,113,2035,-233,45,-68,-86,14740,-7980,5075,1017.62,-51.94,38.34,32,4.02,4.11,69.04,
344560,6,2019,9,4,4,35,13,31.567270,130.543760,-4,2054,20,42,-68,-80,16417,-7247,2076,1017.58,-51.59,38.19,28,4.14,4.01,69.04,
362326,6,2019,9,4,4,35,30,31.567260,130.543730,28,2056,18,37,-73,-78,14952,-9685,3365,1017.65,-52.14,38.17,28,4.14,4.11,69.70,
371357,6,2019,9,4,4,35,30,31.567260,130.543730,-6,2064,-42,41,-73,-81,15749,-9866,3556,1017.75,-52.99,38.05,30,4.11,4.09,69.70,
386345,6,2019,9,4,4,35,54,31.567238,130.543747,212,-24,-2056,37,-54,-73,16139,-3448,8953,1017.19,-48.38,38.02,26,4.14,4.09,69.70,
403691,6,2019,9,4,4,36,11,31.567332,130.543678,282,-24,-2066,34,-67,-77,13276,-5155,9452,1012.98,-13.39,38.72,9,4.14,4.11,70.14,
412723,6,2019,9,4,4,36,11,31.567332,130.543678,321,-121,-2060,33,-61,-81,9879,-6340,8711,1016.89,-45.85,38.15,18,4.02,4.09,70.14,
419992,6,2019,9,4,4,36,27,31.567268,130.543625,301,-117,-2049,46,-69,-87,9996,-6301,8723,1016.75,-44.71,38.05,18,4.11,4.09,70.14,
437786,6,2019,9,4,4,36,44,31.567267,130.543605,-2136,138,20,480,-2739,1462,16726,-9115,4268,1016.37,-41.55,37.88,17,4.14,4.09,57.83,
446821,6,2019,9,4,4,36,44,31.567267,130.543605,108,18,-172,-1714,2429,322,14231,-4793,7104,1015.41,-33.52,37.48,10,4.11,4.11,57.83,
461799,6,2019,9,4,4,37,8,31.567455,130.543518,1490,98,1451,24,-64,-67,15120,-2848,2877,1016.48,-42.48,37.45,20,4.11,4.09,57.83,
